,date,team,against,home,goalie,dec,SA,SV,TOI
0,2016-10-15,ARI,PHI,h,Mike Smith,W,30,27,63:02
1,2016-10-15,PHI,ARI,@,Steve Mason,O,35,31,63:12
2,2016-10-29,ARI,COL,h,Louis Domingue,L,34,31,58:43
3,2016-10-29,COL,ARI,@,Calvin Pickard,W,26,24,60:00
4,2016-11-01,ARI,SJS,h,Louis Domingue,W,41,39,60:00
5,2016-11-01,SJS,ARI,@,Martin Jones,L,30,27,56:57
6,2016-11-03,ARI,NSH,h,Louis Domingue,W,37,35,65:00
7,2016-11-03,NSH,ARI,@,Pekka Rinne,O,28,26,64:44
8,2016-11-10,ARI,WPG,h,Louis Domingue,L,27,24,58:57
9,2016-11-10,WPG,ARI,@,Connor Hellebuyck,W,25,23,59:53
10,2016-11-12,ARI,BOS,h,Louis Domingue,L,29,27,58:56
11,2016-11-12,BOS,ARI,@,Tuukka Rask,W,32,31,60:00
12,2016-11-19,ARI,SJS,h,Mike Smith,W,45,43,61:16
13,2016-11-19,SJS,ARI,@,Martin Jones,O,26,23,61:16
14,2016-11-23,ARI,VAN,h,Louis Domingue,,10,10,33:11
15,2016-11-23,VAN,ARI,@,Ryan Miller,W,36,35,60:00
16,2016-11-25,ARI,EDM,h,Mike Smith,W,34,32,65:00
17,2016-11-25,EDM,ARI,@,Cam Talbot,O,41,39,64:56
18,2016-12-01,ARI,LAK,h,Mike Smith,L,33,29,58:08
19,2016-12-01,LAK,ARI,@,Jeff Zatkoff,W,26,25,40:00
20,2016-12-03,ARI,CBJ,h,Mike Smith,O,60,58,65:00
21,2016-12-03,CBJ,ARI,@,Curtis McElhinney,W,34,32,65:00
22,2016-12-08,ARI,CGY,h,Mike Smith,O,35,33,61:09
23,2016-12-08,CGY,ARI,@,Chad Johnson,W,28,27,60:40
24,2016-12-10,ARI,NSH,h,Mike Smith,W,45,44,59:59
25,2016-12-10,NSH,ARI,@,Pekka Rinne,L,34,30,59:55
26,2016-12-19,ARI,CGY,h,Mike Smith,L,27,24,58:53
27,2016-12-19,CGY,ARI,@,Brian Elliott,W,27,25,60:00
28,2016-12-21,ARI,EDM,h,Mike Smith,L,21,18,57:30
29,2016-12-21,EDM,ARI,@,Cam Talbot,W,36,34,60:00
30,2016-12-23,ARI,TOR,h,Mike Smith,L,32,28,60:00
31,2016-12-23,TOR,ARI,@,Frederik Andersen,W,32,31,60:00
32,2016-12-27,ARI,DAL,h,Mike Smith,L,28,26,58:55
33,2016-12-27,DAL,ARI,@,Kari Lehtonen,W,37,35,59:30
34,2016-12-29,ARI,NYR,h,Mike Smith,L,31,26,58:57
35,2016-12-29,NYR,ARI,@,Antti Raanta,W,21,18,59:59
36,2017-01-07,ARI,NYI,h,Louis Domingue,W,28,27,64:41
37,2017-01-07,NYI,ARI,@,Thomas Greiss,O,27,26,65:00
38,2017-01-13,ARI,WPG,h,Mike Smith,W,37,34,60:00
39,2017-01-13,WPG,ARI,@,Michael Hutchinson,L,23,22,47:03
40,2017-01-14,ARI,ANA,h,Louis Domingue,L,22,20,58:01
41,2017-01-14,ANA,ARI,@,Jonathan Bernier,W,26,26,60:00
42,2017-01-21,ARI,TBL,h,Mike Smith,W,48,45,60:00
43,2017-01-21,TBL,ARI,@,Ben Bishop,L,17,12,40:00
44,2017-01-23,ARI,FLA,h,Mike Smith,W,25,23,60:46
45,2017-01-23,FLA,ARI,@,Roberto Luongo,O,42,39,60:48
46,2017-01-26,ARI,VAN,h,Mike Smith,W,19,19,60:00
47,2017-01-26,VAN,ARI,@,Ryan Miller,L,30,28,58:49
48,2017-01-31,ARI,LAK,h,Mike Smith,L,39,36,58:36
49,2017-01-31,LAK,ARI,@,Peter Budaj,W,32,30,59:47
50,2017-02-02,ARI,CHI,h,Mike Smith,L,26,22,58:57
51,2017-02-02,CHI,ARI,@,Corey Crawford,W,27,24,60:00
52,2017-02-09,ARI,MTL,h,Mike Smith,O,40,35,62:13
53,2017-02-09,MTL,ARI,@,Carey Price,W,25,21,62:11
54,2017-02-11,ARI,PIT,h,Mike Smith,W,31,28,64:38
55,2017-02-11,PIT,ARI,@,Marc-Andre Fleury,O,25,21,63:40
56,2017-02-18,ARI,SJS,h,Mike Smith,L,33,29,60:00
57,2017-02-18,SJS,ARI,@,Aaron Dell,W,37,36,59:56
58,2017-02-20,ARI,ANA,h,Mike Smith,W,28,27,44:28
59,2017-02-20,ANA,ARI,@,John Gibson,,14,14,38:27
60,2017-02-26,ARI,BUF,h,Louis Domingue,W,33,31,60:00
61,2017-02-26,BUF,ARI,@,Anders Nilsson,L,29,26,59:41
62,2017-03-05,ARI,CAR,h,Mike Smith,L,35,33,58:51
63,2017-03-05,CAR,ARI,@,Eddie Lack,W,26,25,60:00
64,2017-03-09,ARI,OTT,h,Mike Smith,O,31,28,60:37
65,2017-03-09,OTT,ARI,@,Mike Condon,W,41,39,60:40
66,2017-03-11,ARI,NJD,h,Mike Smith,W,30,26,60:00
67,2017-03-11,NJD,ARI,@,Keith Kinkaid,L,21,20,35:02
68,2017-03-13,ARI,COL,h,Mike Smith,W,22,22,60:00
69,2017-03-13,COL,ARI,@,Calvin Pickard,L,35,34,59:00
70,2017-03-16,ARI,DET,h,Mike Smith,O,33,29,65:00
71,2017-03-16,DET,ARI,@,Petr Mrazek,W,26,22,64:53
72,2017-03-18,ARI,STL,h,Mike Smith,L,40,38,58:37
73,2017-03-18,STL,ARI,@,Jake Allen,W,31,31,60:00
74,2017-03-29,ARI,STL,h,Louis Domingue,L,42,40,59:46
75,2017-03-29,STL,ARI,@,Carter Hutton,W,23,22,59:57
76,2017-03-31,ARI,WSH,h,Louis Domingue,W,48,45,60:00
77,2017-03-31,WSH,ARI,@,Braden Holtby,L,25,19,53:12
78,2017-04-06,ARI,VAN,h,Louis Domingue,W,29,26,60:00
79,2017-04-06,VAN,ARI,@,Ryan Miller,L,22,18,58:15
80,2017-04-08,ARI,MIN,h,Mike Smith,L,45,42,58:24
81,2017-04-08,MIN,ARI,@,Darcy Kuemper,W,21,20,60:00
82,2016-10-23,ANA,VAN,h,John Gibson,W,19,17,60:00
83,2016-10-23,VAN,ANA,@,Ryan Miller,L,37,33,59:00
84,2016-10-26,ANA,NSH,h,John Gibson,W,29,28,60:00
85,2016-10-26,NSH,ANA,@,Pekka Rinne,L,17,13,35:04
86,2016-10-28,ANA,CBJ,h,John Gibson,L,32,28,49:53
87,2016-10-28,CBJ,ANA,@,Sergei Bobrovsky,W,35,35,60:00
88,2016-11-02,ANA,PIT,h,John Gibson,L,34,29,51:16
89,2016-11-02,PIT,ANA,@,Matt Murray,W,33,32,59:55
90,2016-11-04,ANA,ARI,h,John Gibson,W,22,21,60:00
91,2016-11-04,ARI,ANA,@,Justin Peters,,12,10,40:00
92,2016-11-06,ANA,CGY,h,Jonathan Bernier,W,26,25,60:00
93,2016-11-06,CGY,ANA,@,Chad Johnson,L,21,17,60:00
94,2016-11-15,ANA,EDM,h,John Gibson,W,34,33,60:00
95,2016-11-15,EDM,ANA,@,Cam Talbot,L,27,23,59:55
96,2016-11-17,ANA,NJD,h,Jonathan Bernier,W,29,27,60:00
97,2016-11-17,NJD,ANA,@,Cory Schneider,L,23,20,58:25
98,2016-11-20,ANA,LAK,h,John Gibson,L,29,26,58:13
99,2016-11-20,LAK,ANA,@,Peter Budaj,W,30,28,59:31
100,2016-11-22,ANA,NYI,h,Jonathan Bernier,O,35,33,64:55
101,2016-11-22,NYI,ANA,@,Thomas Greiss,W,41,39,65:00
102,2016-11-25,ANA,CHI,h,John Gibson,L,25,22,58:59
103,2016-11-25,CHI,ANA,@,Corey Crawford,W,36,34,60:00
104,2016-11-29,ANA,MTL,h,John Gibson,W,40,39,60:00
105,2016-11-29,MTL,ANA,@,Carey Price,L,38,36,57:31
106,2016-12-07,ANA,CAR,h,John Gibson,W,34,29,64:42
107,2016-12-07,CAR,ANA,@,Cam Ward,O,38,33,64:57
108,2016-12-09,ANA,SJS,h,Jonathan Bernier,W,24,22,60:00
109,2016-12-09,SJS,ANA,@,Martin Jones,L,32,29,58:31
110,2016-12-11,ANA,OTT,h,John Gibson,W,22,21,60:00
111,2016-12-11,OTT,ANA,@,Andrew Hammond,,19,17,39:46
112,2016-12-27,ANA,SJS,h,John Gibson,O,25,22,62:46
113,2016-12-27,SJS,ANA,@,Martin Jones,W,36,34,62:43
114,2017-01-01,ANA,PHI,h,John Gibson,W,54,51,61:12
115,2017-01-01,PHI,ANA,@,Steve Mason,O,25,22,65:00
116,2017-01-04,ANA,DET,h,John Gibson,W,23,23,60:00
117,2017-01-04,DET,ANA,@,Petr Mrazek,L,24,22,58:39
118,2017-01-06,ANA,ARI,h,John Gibson,W,23,21,64:21
119,2017-01-06,ARI,ANA,@,Mike Smith,O,35,32,64:24
120,2017-01-08,ANA,MIN,h,John Gibson,L,36,34,58:16
121,2017-01-08,MIN,ANA,@,Devan Dubnyk,W,24,23,59:55
122,2017-01-10,ANA,DAL,h,John Gibson,W,34,34,59:59
123,2017-01-10,DAL,ANA,@,Antti Niemi,L,38,36,57:59
124,2017-01-15,ANA,STL,h,John Gibson,O,25,23,60:34
125,2017-01-15,STL,ANA,@,Carter Hutton,W,23,22,60:51
126,2017-01-17,ANA,TBL,h,John Gibson,W,28,27,60:54
127,2017-01-17,TBL,ANA,@,Ben Bishop,O,21,19,60:54
128,2017-01-19,ANA,COL,h,John Gibson,W,22,21,60:00
129,2017-01-19,COL,ANA,@,Calvin Pickard,L,36,34,58:59
130,2017-01-25,ANA,EDM,h,John Gibson,L,23,19,60:00
131,2017-01-25,EDM,ANA,@,Cam Talbot,W,26,26,60:00
132,2017-01-31,ANA,COL,h,John Gibson,W,29,28,60:00
133,2017-01-31,COL,ANA,@,Calvin Pickard,L,31,26,60:00
134,2017-02-17,ANA,FLA,h,John Gibson,L,30,27,59:25
135,2017-02-17,FLA,ANA,@,James Reimer,W,36,35,59:46
136,2017-02-19,ANA,LAK,h,John Gibson,W,24,24,60:00
137,2017-02-19,LAK,ANA,@,Peter Budaj,L,29,28,58:26
138,2017-02-22,ANA,BOS,h,Jonathan Bernier,W,29,26,60:00
139,2017-02-22,BOS,ANA,@,Tuukka Rask,L,24,20,59:30
140,2017-03-03,ANA,TOR,h,Jonathan Bernier,W,39,37,59:31
141,2017-03-03,TOR,ANA,@,Curtis McElhinney,L,35,31,58:30
142,2017-03-05,ANA,VAN,h,Jonathan Bernier,L,27,25,58:15
143,2017-03-05,VAN,ANA,@,Richard Bachman,W,44,43,59:58
144,2017-03-07,ANA,NSH,h,Jonathan Bernier,W,27,24,65:00
145,2017-03-07,NSH,ANA,@,Pekka Rinne,O,42,39,64:43
146,2017-03-12,ANA,WSH,h,Jonathan Bernier,W,27,25,59:54
147,2017-03-12,WSH,ANA,@,Braden Holtby,L,32,27,59:53
148,2017-03-15,ANA,STL,h,Jonathan Bernier,W,27,26,59:40
149,2017-03-15,STL,ANA,@,Jake Allen,L,22,20,57:50
150,2017-03-17,ANA,BUF,h,Jonathan Bernier,O,31,30,65:00
151,2017-03-17,BUF,ANA,@,Anders Nilsson,W,40,39,64:32
152,2017-03-22,ANA,EDM,h,Jonathan Bernier,W,32,29,59:57
153,2017-03-22,EDM,ANA,@,Cam Talbot,L,18,14,31:24
154,2017-03-24,ANA,WPG,h,Jonathan Bernier,W,18,17,60:00
155,2017-03-24,WPG,ANA,@,Michael Hutchinson,L,34,32,59:45
156,2017-03-26,ANA,NYR,h,Jonathan Bernier,W,28,25,60:00
157,2017-03-26,NYR,ANA,@,Henrik Lundqvist,L,33,28,58:37
158,2017-04-04,ANA,CGY,h,John Gibson,W,27,26,59:44
159,2017-04-04,CGY,ANA,@,Brian Elliott,L,19,16,54:41
160,2017-04-06,ANA,CHI,h,John Gibson,W,37,37,60:00
161,2017-04-06,CHI,ANA,@,Corey Crawford,L,26,22,60:00
162,2017-04-09,ANA,LAK,h,Jonathan Bernier,W,18,15,60:53
163,2017-04-09,LAK,ANA,@,Jonathan Quick,O,24,20,60:53
164,2016-10-15,COL,DAL,h,Semyon Varlamov,W,28,23,60:00
165,2016-10-15,DAL,COL,@,Kari Lehtonen,L,13,12,31:57
166,2016-10-28,COL,WPG,h,Semyon Varlamov,L,21,20,58:26
167,2016-10-28,WPG,COL,@,Michael Hutchinson,W,37,37,60:00
168,2016-11-01,COL,NSH,h,Semyon Varlamov,L,36,31,59:40
169,2016-11-01,NSH,COL,@,Pekka Rinne,W,29,28,59:50
170,2016-11-05,COL,MIN,h,Calvin Pickard,W,32,32,60:00
171,2016-11-05,MIN,COL,@,Devan Dubnyk,L,32,31,58:58
172,2016-11-08,COL,ARI,h,Calvin Pickard,L,25,21,58:38
173,2016-11-08,ARI,COL,@,Louis Domingue,W,27,25,59:54
174,2016-11-11,COL,WPG,h,Semyon Varlamov,W,18,16,61:01
175,2016-11-11,WPG,COL,@,Michael Hutchinson,O,28,25,61:23
176,2016-11-13,COL,BOS,h,Semyon Varlamov,L,45,44,59:21
177,2016-11-13,BOS,COL,@,Tuukka Rask,W,21,21,60:00
178,2016-11-15,COL,LAK,h,Semyon Varlamov,W,33,32,60:00
179,2016-11-15,LAK,COL,@,Peter Budaj,L,29,26,59:45
180,2016-11-23,COL,EDM,h,Semyon Varlamov,L,40,35,57:59
181,2016-11-23,EDM,COL,@,Cam Talbot,W,28,25,59:16
182,2016-11-26,COL,VAN,h,Calvin Pickard,O,31,29,65:00
183,2016-11-26,VAN,COL,@,Jacob Markstrom,W,35,33,64:29
184,2016-11-29,COL,NSH,h,Calvin Pickard,L,33,28,58:05
185,2016-11-29,NSH,COL,@,Pekka Rinne,W,40,37,60:00
186,2016-12-01,COL,CBJ,h,Semyon Varlamov,L,37,34,57:45
187,2016-12-01,CBJ,COL,@,Sergei Bobrovsky,W,20,18,60:00
188,2016-12-03,COL,DAL,h,Semyon Varlamov,L,32,30,58:49
189,2016-12-03,DAL,COL,@,Kari Lehtonen,W,23,23,59:58
190,2016-12-14,COL,PHI,h,Calvin Pickard,L,25,21,58:32
191,2016-12-14,PHI,COL,@,Steve Mason,W,29,26,60:00
192,2016-12-16,COL,FLA,h,Calvin Pickard,L,23,20,57:41
193,2016-12-16,FLA,COL,@,James Reimer,W,31,30,60:00
194,2016-12-22,COL,TOR,h,Calvin Pickard,,13,12,31:18
195,2016-12-22,TOR,COL,@,Frederik Andersen,W,38,38,60:00
196,2016-12-27,COL,CGY,h,Calvin Pickard,L,31,25,59:58
197,2016-12-27,CGY,COL,@,Brian Elliott,W,28,25,60:00
198,2016-12-31,COL,NYR,h,Calvin Pickard,L,37,31,60:00
