,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
82,10/5/17,ANA,ARI,h,John Gibson,W,30,26,59:53:00,,,,
84,10/7/17,ANA,PHI,h,John Gibson,O,37,34,60:44:00,,,,
86,10/9/17,ANA,CGY,h,John Gibson,L,29,27,56:21:00,,,,
88,10/11/17,ANA,NYI,h,John Gibson,W,41,39,60:00:00,,,,
167,10/13/17,ANA,COL,@,Reto Berra,L,20,19,38:58:00,,,,
90,10/15/17,ANA,BUF,h,John Gibson,L,30,28,59:11:00,,,,
92,10/20/17,ANA,MTL,h,John Gibson,W,51,49,59:29:00,,,,
1731,10/24/17,ANA,PHI,@,John Gibson,W,33,31,60:00:00,,,,
991,10/26/17,ANA,FLA,@,John Gibson,L,17,11,40:00:00,,,,
2063,10/28/17,ANA,TBL,@,John Gibson,W,32,31,60:00:00,S,,,
583,10/29/17,ANA,CAR,@,Ryan Miller,W,37,34,65:00:00,B,,,
94,11/1/17,ANA,TOR,h,John Gibson,L,29,26,58:41:00,,,,
96,11/3/17,ANA,NSH,h,John Gibson,L,29,25,58:45:00,S,,,
1901,11/4/17,ANA,SJS,@,Ryan Miller,O,45,44,65:00:00,B,,,
98,11/7/17,ANA,LAK,h,John Gibson,,33,30,53:07:00,,,,
100,11/9/17,ANA,VAN,h,Ryan Miller,W,14,13,51:24:00,,,,
102,11/12/17,ANA,TBL,h,John Gibson,L,37,35,58:24:00,,,,
104,11/15/17,ANA,BOS,h,John Gibson,W,42,40,60:00:00,,,,
106,11/19/17,ANA,FLA,h,John Gibson,W,52,50,59:58:00,S,,,
1911,11/20/17,ANA,SJS,@,Reto Berra,W,42,40,64:57:00,B,,,
108,11/22/17,ANA,VEG,h,John Gibson,L,49,45,60:00:00,,,,
110,11/24/17,ANA,WPG,h,John Gibson,L,35,32,59:51:00,S,,,
1093,11/25/17,ANA,LAK,@,Ryan Miller,O,34,33,65:00:00,B,,,
677,11/27/17,ANA,CHI,@,Ryan Miller,,13,10,33:29:00,,,,
1993,11/29/17,ANA,STL,@,John Gibson,W,39,37,59:50:00,,,,
273,12/1/17,ANA,CBJ,@,John Gibson,L,30,27,58:24:00,S,,,
1337,12/2/17,ANA,NSH,@,Ryan Miller,O,35,33,65:00:00,B,,,
2239,12/5/17,ANA,VEG,@,John Gibson,O,43,40,65:00:00,S,,,
112,12/6/17,ANA,OTT,h,Ryan Miller,W,29,29,59:58:00,B,,,
114,12/8/17,ANA,MIN,h,John Gibson,O,31,28,63:43:00,,,,
116,12/11/17,ANA,CAR,h,John Gibson,W,30,28,60:00:00,,,,
2003,12/14/17,ANA,STL,@,John Gibson,W,30,29,60:00:00,,,,
2333,12/16/17,ANA,WSH,@,John Gibson,O,27,24,61:58:00,,,,
1425,12/18/17,ANA,NJD,@,Ryan Miller,L,33,29,58:09:00,B,,,
1601,12/19/17,ANA,NYR,@,John Gibson,L,32,28,60:00:00,S,,,
1507,12/21/17,ANA,NYI,@,Ryan Miller,W,26,22,63:41:00,,,,
1839,12/23/17,ANA,PIT,@,John Gibson,W,29,29,60:00:00,,,,
118,12/27/17,ANA,VEG,h,John Gibson,L,27,24,57:42:00,,,,
120,12/29/17,ANA,CGY,h,John Gibson,W,23,22,59:50:00,,,,
122,12/31/17,ANA,ARI,h,John Gibson,W,25,23,60:00:00,,,,
2175,1/2/18,ANA,VAN,@,Ryan Miller,W,31,31,60:00:00,,,,
945,1/4/18,ANA,EDM,@,John Gibson,O,34,33,65:00:00,,,,
537,1/6/18,ANA,CGY,@,John Gibson,L,31,28,59:38:00,,,,
1107,1/13/18,ANA,LAK,@,John Gibson,W,25,23,60:00:00,,,,
211,1/15/18,ANA,COL,@,Ryan Miller,L,29,26,57:09:00,,,,
124,1/17/18,ANA,PIT,h,John Gibson,W,33,30,60:00:00,,,,
126,1/19/18,ANA,LAK,h,John Gibson,W,24,23,59:04:00,,,,
128,1/21/18,ANA,SJS,h,John Gibson,L,22,17,52:08:00,,,,
130,1/23/18,ANA,NYR,h,John Gibson,W,44,41,59:45:00,,,,
132,1/25/18,ANA,WPG,h,John Gibson,,27,24,53:20:00,,,,
379,1/30/18,ANA,BOS,@,John Gibson,W,25,25,52:35:00,,,,
1691,2/1/18,ANA,OTT,@,Ryan Miller,O,32,30,59:19:00,,,,
1285,2/3/18,ANA,MTL,@,Reto Berra,,22,20,49:47:00,,,,
,2/5/18,ANA,TOR,@,Ryan Miller,L,39,33,58:34:00,B,,,
